,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
2717,196,145,164,5,1,1,71,47,6,3,19,0,29,-7,0,0,-8,-8,-8,1,-8,100
6561,79,9,40,11,1,0,77,8,4,5,13,1,46,0,2,2,0,96,0,2,-8,75
583,117,1,49,9,0,0,100,-7,7,8,11,4,27,-7,0,0,55,-8,5,1,2,86
9020,82,4,38,15,0,0,94,-8,6,6,16,3,31,0,1,1,13,95,2,2,1,36
2848,103,8,49,17,0,0,100,-7,7,8,13,1,76,9,0,0,19,86,1,7,0,80
8432,108,6,55,16,3,1,75,40,6,5,21,4,20,0,0,0,53,69,5,4,1,91
7578,119,6,54,15,0,0,100,-7,7,8,16,1,20,-7,0,0,26,-8,4,1,0,56
4646,76,10,49,12,0,0,100,-7,7,8,12,1,17,-8,0,0,27,-8,2,1,0,44
9095,240,4,83,33,0,0,94,48,6,6,37,1,58,-7,1,1,62,80,6,4,2,77
7726,61,2,33,14,0,0,100,-7,7,8,15,1,7,21,0,0,27,-8,4,1,0,56
10449,176,4,87,18,0,0,89,2,4,6,18,1,56,4,1,1,93,72,5,3,1,100
3641,300,7,68,47,0,0,100,-7,7,8,69,3,11,6,0,0,12,60,6,3,1,39
293,369,7,114,31,0,0,100,-7,7,8,33,2,33,0,0,0,1,91,2,2,0,36
5286,209,4,64,34,0,0,91,6,4,6,35,3,37,0,2,2,54,86,9,2,2,69
5365,183,2,122,24,0,0,100,-7,7,8,26,1,42,-7,1,1,18,69,5,2,0,54
9164,183,2,116,29,0,0,100,-7,7,8,31,1,39,-7,2,2,42,97,3,2,0,75
8772,97,13,51,14,0,0,93,45,6,6,14,0,21,-7,0,0,20,65,2,3,0,71
6547,434,5,141,18,1,0,95,4,3,5,19,2,37,0,1,1,47,99,5,2,-8,78
3220,252,4,54,24,0,0,100,-7,7,8,37,3,42,3,2,2,15,78,4,5,1,64
758,444,1,126,19,1,1,95,44,6,2,22,2,45,2,1,1,4,75,3,2,0,63
9029,139,22,109,3,2,1,80,7,3,5,5,0,60,0,2,2,-8,-8,-8,1,-8,100
5959,262,12,63,19,0,0,89,4,4,6,19,0,11,-7,1,1,19,-8,3,1,2,40
3832,315,8,81,41,0,0,100,-7,7,8,55,1,45,0,3,3,57,93,2,9,2,79
2138,123,2,59,3,1,0,57,7,4,5,7,1,57,0,6,5,5,99,1,1,0,67
5195,464,3,153,33,0,0,100,-7,6,7,34,2,35,5,1,1,4,-8,8,1,0,80
9478,132,9,63,29,0,0,90,2,4,6,31,1,58,0,2,2,23,82,1,4,0,71
8379,381,22,105,11,0,0,100,-7,7,8,11,0,82,0,0,0,2,37,1,4,0,83
6667,79,22,54,6,1,0,75,8,4,5,8,0,38,-7,1,1,77,-8,4,1,0,100
4115,125,4,79,30,1,1,97,51,6,4,23,3,26,6,0,0,7,-8,2,1,0,23
5479,313,5,118,25,0,0,100,-7,7,8,27,1,42,22,0,0,2,69,3,3,0,50
6333,207,6,69,20,1,1,90,8,4,2,21,2,33,0,0,0,75,85,5,3,2,80
9204,95,2,24,15,0,0,100,-7,7,8,19,4,44,4,1,1,73,87,5,6,2,85
7636,194,31,86,11,0,0,100,-7,7,8,11,0,27,-7,1,1,5,-8,3,1,0,57
6349,210,2,103,25,0,0,100,-7,7,8,26,1,31,0,0,0,27,-8,1,1,0,25
10364,119,7,69,41,0,0,98,72,6,6,46,2,72,1,1,1,47,79,5,3,2,67
4352,372,3,86,23,0,0,83,16,6,6,23,2,35,0,5,5,9,75,2,6,0,53
5439,193,4,99,18,0,0,100,-7,7,8,18,1,33,0,1,1,37,-8,3,1,0,80
5263,117,3,55,18,0,0,89,12,6,6,19,1,53,0,3,3,29,65,3,4,0,88
3916,218,4,87,24,0,0,100,-7,7,8,10,2,35,22,0,0,9,-8,1,1,0,20
5127,52,12,31,10,0,0,100,-7,7,8,10,0,60,0,0,0,38,61,2,3,2,83
3195,233,25,152,35,0,0,100,-7,7,8,36,0,11,-8,0,0,0,-8,2,1,0,38
8780,169,18,83,22,0,0,100,-7,7,8,22,0,14,-7,0,0,0,-8,1,1,0,18
3284,271,4,120,44,0,0,100,-7,7,8,50,2,35,5,0,0,36,98,6,2,2,53
492,138,2,71,21,0,0,100,-7,7,8,24,3,33,-7,0,0,4,-8,2,1,0,75
219,90,7,38,7,0,0,100,-7,7,8,7,1,57,5,1,1,91,52,1,2,1,75
119,212,23,105,11,0,0,82,21,6,6,11,0,45,-7,1,1,13,-8,1,1,0,100
5252,164,7,62,16,1,1,72,2,4,3,19,2,47,0,1,1,67,62,5,2,3,100
16,256,19,68,14,0,0,87,0,4,6,15,0,33,0,2,1,62,68,3,3,1,86
9956,274,3,95,43,0,0,89,0,4,6,44,4,23,0,1,1,58,47,13,6,7,72
9520,150,5,54,12,0,0,77,0,4,6,13,3,62,0,3,3,81,69,4,4,1,100
2774,132,1,9,12,0,0,100,-7,7,8,5,10,23,-7,8,8,31,98,7,3,1,85
8008,339,3,115,27,0,0,100,-7,7,8,27,1,22,22,0,0,11,-8,2,1,0,23
7605,10,5,7,6,0,0,100,-7,7,8,6,6,50,-7,0,0,97,93,3,2,1,100
1690,129,1,50,6,3,2,75,6,3,2,12,2,33,0,4,4,17,-8,2,1,0,75
10456,129,6,64,18,1,1,100,-7,6,8,18,1,33,3,4,4,6,-8,5,-8,0,56
1708,206,2,66,19,0,0,82,6,4,6,22,4,45,0,2,2,56,39,6,2,1,75
4144,119,7,62,15,0,0,100,-7,7,8,15,1,20,0,0,0,57,88,3,2,2,56
10260,241,16,95,21,0,0,95,27,6,6,21,0,24,2,2,2,9,-8,3,1,0,50
1739,256,4,67,23,0,0,96,5,4,6,23,4,39,0,0,0,9,79,7,4,3,92
1804,53,4,21,12,0,0,100,-7,7,8,12,3,33,0,3,3,93,96,5,1,2,75
3247,244,11,128,30,0,0,93,4,4,6,10,1,43,2,1,1,23,74,8,4,2,100
1957,149,3,52,16,0,0,100,-7,7,8,16,2,63,0,1,1,26,83,1,4,0,83
8184,170,3,78,18,3,0,71,36,5,2,21,3,57,0,0,0,111,90,4,3,3,100
5566,325,4,103,23,0,0,100,-7,7,8,26,2,77,3,1,1,4,58,2,5,0,64
4507,287,4,102,10,1,0,55,13,6,5,11,3,55,-7,2,2,30,65,2,2,0,67
9379,207,1,98,24,0,0,93,56,6,6,28,3,32,0,1,1,19,-8,6,-8,0,58
5571,146,12,80,22,0,0,95,46,6,6,22,0,0,1,2,2,0,-8,0,-8,0,0
8354,144,1,39,18,0,0,100,-7,7,8,19,6,37,0,1,1,3,82,3,4,0,53
9289,450,5,122,17,0,0,100,-7,7,8,19,1,21,4,1,1,4,-8,3,-8,0,75
9966,101,1,39,12,0,0,92,41,6,6,13,3,0,0,3,3,59,-8,6,-8,2,86
2018,116,8,67,46,0,0,100,-7,7,8,51,2,25,0,0,0,4,28,6,2,1,45
8538,210,3,74,24,0,0,100,-7,7,8,24,3,29,0,3,3,11,87,2,2,0,40
6127,205,3,105,7,0,0,100,-7,7,8,7,3,86,-8,0,0,-8,69,-8,3,-8,100
7342,162,7,56,15,0,0,87,2,4,6,15,1,27,0,0,0,85,-8,3,1,2,100
5211,137,4,56,36,1,1,100,-7,6,8,40,9,55,0,3,3,32,92,7,5,2,75
5165,176,4,63,34,0,0,86,5,4,6,35,4,60,0,8,7,48,90,5,3,3,62
6304,170,8,78,53,1,1,100,-7,6,8,58,5,24,0,2,2,39,90,3,4,3,50
5649,269,2,70,10,3,3,85,70,6,4,13,3,15,0,1,0,24,91,7,1,0,90
8253,172,24,80,4,1,0,43,7,4,5,7,0,14,0,2,2,91,-8,4,-8,3,80
8438,101,2,34,15,0,0,100,-7,7,8,18,5,33,0,9,9,72,100,5,3,4,69
10222,114,4,66,13,2,2,76,10,3,2,17,1,47,0,2,2,0,90,0,2,-8,50
7059,255,7,91,34,0,0,94,1,4,6,35,4,31,5,0,0,65,82,16,2,2,90
8856,230,8,99,32,1,0,85,24,6,5,33,1,18,16,0,0,8,88,2,1,0,25
94,378,7,110,41,0,0,98,35,6,6,42,4,57,0,0,0,44,76,4,5,2,69
4467,252,17,78,17,1,1,100,-7,7,8,20,0,50,-7,1,1,85,67,3,3,3,86
2198,109,6,45,7,1,1,86,39,6,6,8,2,57,0,0,0,79,93,2,1,1,100
4160,91,2,41,8,2,2,100,-7,0,8,9,3,44,0,0,0,91,73,3,2,2,100
5413,207,3,69,34,1,0,75,1,3,5,38,6,25,2,2,2,17,80,8,5,1,68
3063,206,1,84,53,1,1,94,61,0,6,83,1,31,1,2,2,60,97,11,3,3,75
5561,119,2,48,37,0,0,100,-7,7,8,39,7,33,0,7,7,9,99,6,2,0,53
1565,152,5,78,11,2,2,100,-7,6,8,12,1,36,0,1,1,86,64,4,2,1,86
8035,218,3,73,35,0,0,97,71,6,6,36,5,29,22,0,0,5,96,3,4,2,41
7384,162,9,82,22,0,0,100,-7,7,8,24,1,58,0,0,0,79,45,2,2,-8,80
6386,189,11,68,22,1,0,91,34,6,5,23,1,43,0,0,0,74,-8,7,2,3,69
3947,150,26,165,31,0,0,95,1,4,6,10,0,37,1,3,3,7,-8,4,2,0,46
8145,195,6,62,19,0,0,100,-7,7,8,19,2,37,5,0,0,3,61,2,2,1,44
6396,183,3,75,13,0,0,100,-7,7,8,13,2,31,0,4,4,75,65,4,3,2,88
6608,211,15,98,15,3,1,48,2,4,5,21,0,19,-7,1,1,23,23,2,2,0,31
7558,227,4,90,11,0,0,100,-7,7,8,11,1,18,-7,1,1,3,-8,3,1,1,50
5268,325,3,91,37,0,0,100,-7,7,8,38,3,16,0,1,1,51,72,5,3,2,69
9149,-8,40,131,57,3,1,68,0,0,5,63,0,32,-7,1,1,58,13,17,3,4,79
78,277,8,109,8,0,0,100,-7,7,8,8,1,50,0,0,0,33,-8,2,1,0,100
8775,318,10,79,28,0,0,96,15,6,6,28,2,21,-7,1,1,7,-8,6,-8,0,29
9856,260,28,126,22,0,0,100,-7,7,8,22,0,14,0,0,0,47,-8,6,1,3,57
5675,134,5,31,7,0,0,86,9,4,6,7,3,0,0,3,3,19,-8,1,-8,0,20
2123,238,18,106,30,0,0,93,55,6,6,30,0,27,0,1,1,13,73,2,4,0,58
7883,382,4,63,63,0,0,100,-7,7,8,64,3,8,6,0,0,10,10,2,2,1,15
7477,143,6,76,21,2,2,83,4,4,3,23,1,22,0,0,0,61,96,6,2,3,73
5998,346,2,94,26,0,0,96,15,6,6,28,2,57,2,3,3,85,68,3,5,2,90
401,411,23,91,10,0,0,100,-7,6,8,11,0,36,0,0,0,17,-8,2,-8,0,100
3594,216,12,86,23,0,0,88,3,4,6,53,0,29,1,1,1,84,-8,7,1,5,75
3163,153,4,64,11,0,0,100,-7,7,8,8,3,36,11,0,0,68,54,3,3,1,86
4475,179,12,74,32,3,1,74,2,3,4,38,0,40,-7,0,0,20,23,1,2,1,23
6364,138,5,48,20,0,0,100,-7,7,8,20,2,35,0,0,0,40,72,2,2,1,50
8474,-8,4,20,17,1,1,100,-7,6,8,18,8,17,-7,1,1,10,89,2,2,1,29
8015,176,2,77,23,0,0,100,-7,7,8,28,3,43,1,1,1,46,86,5,2,2,78
4980,194,12,69,29,0,0,93,6,4,6,31,0,27,2,2,2,36,69,4,2,1,67
9544,190,16,151,15,0,0,100,-7,7,8,17,0,35,-7,1,1,35,15,4,2,1,75
3935,264,17,121,11,0,0,100,-7,7,8,3,0,45,-8,0,0,4,21,3,1,0,100
1532,273,6,119,19,0,0,95,25,6,6,19,1,16,0,2,2,3,-8,2,1,0,30
7845,197,3,65,31,0,0,100,-7,7,8,31,3,29,9,0,0,2,-8,1,2,0,27
10232,327,25,167,7,0,0,100,-7,7,8,8,0,14,0,2,2,0,-8,1,-8,0,33
8304,171,49,110,8,2,2,63,24,6,6,8,0,38,-8,1,0,85,-8,3,1,1,100
4102,132,3,67,47,1,1,96,6,4,6,14,2,55,0,5,5,50,86,8,13,2,81
7549,137,6,58,18,1,1,95,-7,5,7,20,3,70,-7,0,0,81,65,4,2,2,86
8812,182,20,76,13,1,1,85,16,6,6,14,0,31,19,0,0,35,-8,2,1,1,50
720,146,11,99,16,0,0,81,7,4,6,16,1,13,10,0,0,42,-8,7,1,2,80
4107,227,1,90,11,1,1,100,-7,6,8,11,1,50,1,3,3,0,48,1,2,0,57
532,62,1,31,24,0,0,100,-7,7,8,28,6,29,-7,12,12,34,88,3,8,1,85
914,189,2,54,19,0,0,100,-7,7,8,20,3,20,1,5,5,31,33,8,2,1,77
2021,304,3,97,54,0,0,100,-7,7,8,54,4,37,0,1,1,19,89,6,5,2,50
6292,144,21,93,7,0,0,100,-7,7,8,7,0,29,-8,0,0,12,-8,2,-8,0,67
5014,178,5,80,18,0,0,100,-7,7,8,18,3,39,4,2,2,24,-8,4,1,0,71
3256,169,9,64,27,0,0,100,-7,7,8,19,1,15,11,0,0,17,56,4,2,0,30
5257,174,7,84,35,2,0,73,8,4,5,37,2,38,0,1,1,17,65,3,5,0,62
7806,56,1,20,10,0,0,100,-7,7,8,11,4,36,8,0,0,5,77,3,3,0,67
6259,292,42,155,13,0,0,100,-7,7,8,13,0,31,-8,0,0,8,-8,4,1,1,71
5886,57,2,37,7,3,2,45,16,6,2,11,3,9,-7,0,0,46,-8,4,1,1,83
3037,184,2,28,11,0,0,100,-7,7,8,14,3,42,0,1,1,34,-8,2,1,0,60
952,197,26,108,43,0,0,100,-7,7,8,45,0,72,0,7,7,10,15,4,3,1,80
1570,322,17,102,28,0,0,100,-7,7,8,28,0,43,0,1,1,67,72,6,6,3,71
8871,132,1,47,33,1,0,97,19,6,5,37,2,16,0,1,1,20,-8,11,-8,2,52
4715,223,5,84,28,0,0,100,-7,7,8,28,1,43,15,0,0,5,75,4,4,0,73
2834,-8,4,91,22,0,0,95,4,4,6,0,1,45,3,1,1,40,58,4,3,2,78
2765,105,4,72,30,0,0,100,-7,7,8,4,1,20,-7,0,0,27,51,2,3,0,55
1633,137,4,76,28,2,1,90,1,0,2,30,1,20,0,4,3,54,100,4,2,1,55
396,330,8,72,16,0,0,100,-7,7,8,16,3,56,0,0,0,0,-8,0,3,0,43
7020,242,38,116,20,0,0,100,-7,7,8,20,0,30,-8,0,0,4,-8,3,-8,0,50
818,200,1,69,15,0,0,100,-7,7,8,18,1,28,0,1,1,3,-8,2,1,0,75
7509,159,5,68,39,1,0,98,17,6,5,41,1,38,-7,0,0,73,89,6,5,2,85
5518,138,6,89,13,0,0,100,-7,7,8,17,1,41,6,0,0,8,-8,2,1,0,75
1630,101,20,41,12,0,0,100,-7,7,8,12,0,42,0,2,2,6,-8,1,4,0,83
4991,140,11,94,17,0,0,94,56,6,6,18,1,76,-8,0,0,30,77,3,3,0,100
3038,278,1,98,20,0,0,100,-7,7,8,44,4,43,5,0,0,23,-8,6,2,0,80
9576,247,1,90,25,0,0,100,-7,7,8,29,2,24,-7,0,0,29,-8,6,1,1,54
5869,32,2,11,13,1,1,100,-7,0,8,17,9,19,0,5,5,7,86,7,3,0,71
2043,171,37,85,24,0,0,76,13,6,6,25,0,40,0,2,2,86,38,7,2,3,100
904,402,9,137,42,5,3,74,2,4,4,50,1,42,2,3,3,21,31,3,4,0,53
10323,77,10,42,8,0,0,100,-7,7,8,8,1,25,20,0,0,3,84,2,2,0,57
9441,102,3,51,20,1,0,78,11,4,5,23,4,39,0,1,1,56,85,3,3,2,75
4064,215,8,123,20,0,0,100,-7,7,8,7,1,15,1,2,2,7,-8,3,1,0,40
5980,349,4,111,34,0,0,97,16,6,6,35,1,6,19,0,0,83,-8,18,1,12,91
6011,176,5,72,12,2,2,79,10,4,3,14,2,36,20,0,0,58,-8,5,1,3,60
5543,141,2,83,16,0,0,94,32,6,6,18,1,39,1,2,2,36,53,3,3,1,54
7702,152,9,43,31,0,0,97,12,6,6,43,3,32,1,12,12,92,-8,7,1,7,82
7469,311,14,67,21,2,2,74,15,6,4,30,0,10,0,0,0,79,36,7,2,3,100
1702,108,3,55,36,1,0,93,3,3,5,45,1,27,0,2,2,75,73,7,9,6,80
1888,359,13,125,18,0,0,100,-7,7,8,18,0,33,0,0,0,1,51,3,3,0,50
2685,10,11,91,20,0,0,100,-7,7,8,1,1,0,-7,1,1,18,-8,4,-8,1,33
1748,176,14,68,17,1,1,89,2,4,6,20,0,42,0,3,3,84,44,6,2,4,80
1672,145,3,50,15,0,0,100,-7,7,8,15,2,33,0,1,1,46,-8,4,1,1,86
174,82,13,57,15,5,4,67,23,6,2,21,0,71,5,2,2,6,66,1,2,-8,75
3604,180,1,55,12,0,0,100,-7,7,8,13,2,46,16,0,0,8,100,1,2,0,38
2011,219,18,90,15,2,0,71,8,4,5,17,0,41,0,3,3,25,51,3,3,0,75
3693,138,2,80,39,0,0,100,-7,7,8,12,5,28,0,3,3,28,91,6,5,2,69
6927,324,7,103,19,1,0,86,23,6,5,22,3,32,1,1,1,77,78,10,3,4,100
10029,176,6,87,16,1,1,94,57,6,2,17,1,35,-7,0,0,70,-8,3,-8,1,75
4896,142,2,61,23,4,3,76,4,4,3,30,4,52,4,1,1,51,73,5,6,1,80
10142,171,7,79,40,0,0,100,-7,7,8,41,3,17,3,1,1,16,79,4,2,0,46
10107,170,21,70,28,1,1,100,-7,0,8,28,0,36,-7,0,0,28,8,2,2,1,50
10231,149,3,69,18,0,0,94,7,4,6,18,2,72,10,0,0,13,82,1,4,0,71
7658,72,1,28,6,3,3,88,41,6,2,8,3,25,-7,2,2,86,3,5,1,3,100
6069,172,14,72,13,0,0,100,-7,7,8,13,0,46,16,0,0,0,82,0,2,0,40
1845,139,16,87,14,1,0,75,2,3,5,16,0,50,0,2,2,84,-8,7,1,1,100
9861,199,2,57,21,0,0,95,-8,6,6,22,3,27,0,0,0,18,98,6,2,0,62
2295,115,13,31,10,0,0,100,-7,7,8,35,0,40,-7,1,1,21,73,3,2,1,86
8011,401,10,161,13,0,0,93,3,4,6,14,3,14,-8,0,0,5,-8,2,-8,0,40
2724,291,8,88,14,0,0,100,-7,7,8,8,1,29,-7,0,0,100,67,5,2,4,100
6698,331,6,93,30,0,0,83,1,4,6,32,2,23,-7,5,5,3,89,3,3,1,40
3362,117,6,54,14,2,1,80,4,4,5,15,6,47,0,0,0,46,84,5,3,1,80
9031,272,9,121,20,0,0,100,-7,6,8,20,1,25,0,0,0,42,88,8,2,1,77
9801,117,1,54,35,1,0,87,22,6,5,39,3,59,0,3,3,33,48,3,5,3,62
6072,122,3,65,19,0,0,100,-7,7,8,19,2,42,2,1,1,18,73,2,3,0,83
9221,242,21,99,33,0,0,100,-7,7,8,35,0,34,14,0,0,33,-8,8,2,2,53
4329,134,6,67,19,0,0,95,57,6,6,20,3,45,0,0,0,52,78,2,3,2,63
8205,222,2,67,14,0,0,94,2,4,6,17,2,59,0,4,4,25,79,2,2,1,67
2697,196,9,94,20,1,1,86,9,0,2,27,2,52,-7,0,0,40,93,3,2,1,75
6683,23,1,12,2,0,0,100,-7,7,8,3,1,67,-7,1,1,0,97,0,2,-8,67
194,175,6,56,17,2,1,90,11,4,5,20,3,55,1,1,1,16,92,3,8,0,73
6949,215,1,91,14,0,0,100,-7,7,8,15,1,33,0,1,1,62,-8,1,1,1,67
4354,261,20,96,17,0,0,100,-7,7,8,17,0,18,0,2,2,78,88,6,2,5,73
6774,191,7,84,22,0,0,100,-7,7,8,25,1,36,3,1,1,10,-8,2,1,0,60
4016,64,2,79,43,0,0,98,76,6,6,14,2,18,9,0,0,9,74,9,2,0,48
8073,113,5,60,6,1,1,71,35,6,4,7,2,29,1,1,1,13,-8,5,1,0,100
932,198,12,94,18,2,2,95,52,6,2,22,0,41,8,0,0,0,85,0,2,0,67
4522,132,5,54,24,0,0,96,80,6,6,24,3,17,-7,1,1,15,91,4,2,1,75
6862,199,21,76,15,0,0,93,32,6,6,15,0,53,15,0,0,4,57,2,3,-8,83
6742,395,30,133,13,0,0,100,-7,7,8,13,0,15,-7,0,0,4,-8,2,1,0,33
9979,265,8,82,13,0,0,100,-7,7,8,13,1,38,0,0,0,47,92,3,2,2,83
2811,120,7,32,7,1,1,86,5,4,6,24,2,57,-7,1,1,42,95,1,2,0,100
7735,198,8,63,20,0,0,100,-7,7,8,20,2,45,14,0,0,35,74,5,4,1,91
7002,130,2,60,13,3,1,82,41,6,2,18,1,53,0,3,3,6,60,3,4,1,88
2523,288,8,93,30,0,0,100,-7,7,8,51,2,30,-7,0,0,73,-8,9,-8,5,69
7030,184,7,99,14,0,0,100,-7,7,8,14,1,14,0,3,3,86,-8,6,-8,4,75
4914,417,2,103,24,1,1,100,-7,6,8,28,2,7,1,1,1,2,-8,3,-8,0,21
9013,111,3,35,15,2,2,100,-7,7,8,17,2,33,0,1,1,70,97,4,3,0,78
5098,172,3,72,39,0,0,100,-7,7,8,42,2,43,18,0,0,1,98,3,3,0,55
7023,282,6,114,42,2,2,98,69,6,6,42,2,19,7,0,0,25,80,16,2,1,75
6012,97,2,53,19,2,2,91,14,6,2,22,1,73,1,2,2,77,89,3,5,2,89
2163,43,8,22,7,0,0,100,-7,7,8,8,1,50,0,1,1,58,77,3,3,1,86
9688,208,3,83,24,0,0,92,4,4,6,25,3,32,5,0,0,44,-8,6,1,0,70
2592,488,5,116,43,0,0,100,-7,7,8,42,3,18,-7,0,0,3,-8,5,-8,1,23
7351,349,2,83,35,0,0,89,21,6,6,38,7,39,0,3,3,74,83,11,5,6,85
7211,76,2,42,6,1,1,100,-7,6,8,8,2,38,0,2,2,48,95,2,2,0,80
1001,446,20,103,27,0,0,100,-7,7,8,28,0,46,1,2,2,0,10,1,4,1,50
49,478,12,97,44,0,0,89,1,4,6,47,0,32,0,9,9,63,-8,9,-8,6,60
2496,168,3,21,3,1,1,100,-7,7,8,9,1,67,-7,1,1,75,42,1,2,1,100
759,205,1,68,19,1,1,95,81,6,3,22,2,41,1,2,2,82,87,3,6,2,90
4659,202,8,67,20,2,1,81,6,3,5,22,1,27,0,1,1,81,81,6,3,4,83
7195,152,6,46,17,2,0,75,14,6,5,20,3,45,0,0,0,68,54,6,4,3,92
9268,209,2,92,34,1,1,92,3,4,6,37,2,19,1,1,1,22,-8,7,1,2,67
4566,65,9,43,16,0,0,100,-7,7,8,16,1,25,-7,0,0,79,91,7,2,5,75
2374,25,3,57,19,0,0,100,-7,7,8,11,1,10,-7,0,0,56,-8,8,1,3,75
2035,46,12,31,11,0,0,91,13,6,6,11,0,36,0,0,0,33,56,4,2,0,86
2996,217,5,98,32,0,0,91,1,4,6,38,1,31,17,0,0,24,92,6,3,0,64
1757,119,11,39,4,0,0,100,-7,7,8,4,1,75,0,0,0,64,75,1,2,0,100
5882,135,1,34,4,1,1,83,19,5,2,6,1,50,-7,0,0,24,-8,1,1,0,75
8698,457,3,112,10,1,1,90,73,6,6,10,4,40,0,3,3,83,92,1,3,1,100
7376,182,7,105,11,7,3,53,8,4,5,20,2,65,0,0,0,31,92,2,3,0,100
8985,342,6,97,15,7,7,88,37,0,6,17,1,71,0,0,0,50,-8,3,1,1,100
562,234,6,104,31,0,0,97,18,6,6,34,3,18,-7,2,2,44,-8,4,1,3,50
8431,142,18,50,14,2,1,80,10,4,5,16,0,50,0,1,1,82,48,3,3,1,78
1607,193,23,100,24,1,0,81,13,6,5,26,0,19,0,2,1,0,-8,3,1,0,42
4949,275,2,81,42,0,0,93,15,6,6,44,5,50,0,3,3,63,77,4,6,1,71
8127,138,5,55,20,0,0,100,-7,7,8,20,4,25,8,0,0,30,-8,2,1,1,23
3440,-8,4,65,21,0,0,90,10,4,6,0,2,33,-8,0,0,31,75,5,4,1,82
3048,121,2,81,31,0,0,94,30,6,6,13,4,28,9,0,0,2,89,2,3,0,43
4152,117,7,48,16,1,1,90,56,6,2,21,2,48,0,1,1,53,78,4,4,3,89
